Aberdaron,-11251,56,-2555,-106,-552,-1615,-12,476,865,-24,605,-12,-364,24,-7,-170,8
Aberdeen,8014,49,-2332,-74,-532,-1623,-199,807,740,164,384,-60,-228,-50,28,-169,10
Aberdovey,-11575,56,-2751,281,-226,-952,-36,545,724,52,620,-207,-323,21,-45,-254,8
Aberporth,-13764,55,-2464,225,-613,-1395,-222,583,722,-1,613,-81,-310,-13,104,-181,8
Aberystwyth,-12667,56,-2638,73,-288,-1433,-4,711,829,138,570,-84,-357,-69,-74,-250,7
Albert Bridge,10221,57,-2033,1529,-336,-1628,96,853,685,-221,238,-422,-166,175,-100,-172,7
Aldeburgh,-1335,48,-2177,162,-750,-1485,-176,717,720,127,417,-51,-211,-8,45,-160,19
Allington Lock,6818,50,-2027,1380,-479,-1586,42,809,729,-172,280,-344,-208,144,-90,-189,7
Alloa,15489,50,-1663,537,-564,-1475,-56,848,522,-42,243,-186,-186,87,-43,-211,7
Amble,14759,50,-2337,52,-551,-1620,-159,811,766,133,388,-101,-257,-28,20,-176,9
Amlwch,-2491,51,-2358,135,-499,-1679,-150,859,800,198,523,-71,-311,-59,33,-240,8
Annan Waterfoot,2786,50,-2481,87,-395,-1691,-150,863,843,9,480,-102,-305,-35,51,-226,6
Anstruther Easter,11540,49,-2090,125,-619,-1580,-116,785,653,99,301,-156,-221,47,-27,-127,7
Applecross,-16239,51,-2555,-931,-318,-1803,-349,943,852,439,406,256,-184,-219,204,-191,9
Appledore,-20407,54,-2655,356,-49,-1567,-226,738,646,-41,522,-23,-251,8,67,-266,6
Arbroath,10813,49,-2731,147,-553,-1629,-188,857,742,155,447,-123,-249,-43,13,-211,10
Ardchattan Point,-13752,54,-3466,-181,-185,-1644,-114,899,1214,314,1062,126,-631,-265,99,-440,18
Ardglass,-42,49,-2291,-129,-603,-1702,-117,889,623,91,377,-63,-173,-39,25,-194,7
Ardnave Point,-20832,51,-3194,592,-196,-1632,-39,876,1201,423,1072,73,-611,-262,64,-437,18
Ardrossan,2905,46,-2192,901,-511,-1516,-14,578,814,-226,418,-420,-353,194,-111,-107,14
Arklow,-8475,55,-2205,-2197,-507,-1646,-322,605,684,204,389,111,-146,-116,199,-142,10
Arnside,3892,50,-2546,-345,-373,-1698,-200,860,844,-7,494,-64,-307,-55,78,-228,6
Arrochar,3561,46,-2314,1100,-519,-1517,5,598,816,-224,410,-469,-360,207,-128,-113,14
Ayr,2361,46,-2320,1087,-514,-1518,3,598,817,-219,415,-464,-362,203,-127,-115,14
Badcall Bay,-15139,51,-2652,-857,-329,-1803,-342,956,853,435,426,242,-192,-217,199,-202,9
Baginbun Head,-21816,51,-2212,707,-308,-1570,-66,752,811,-70,313,-176,-275,70,-37,-162,5
Balbriggan,211,50,-2268,-525,-628,-1641,-125,681,688,189,266,-73,-180,-35,97,-132,9
